;Akershus;Aust Agder;Buskerud;Finnmark;Hedmark;Hordaland;Møre og Romsdal;Nord Trøndelag;Nordland;Oppland;Oslo;Rogaland;Sogn og Fjordane;Sør Trøndelag;Telemark;Troms;Vest Agder;Vestfold;Østfold
Rødt;18093;2462;5561;2630;5381;14562;9032;4149;11957;6080;56730;14710;3098;17397;6257;5068;3637;10119;11229
Sosialistisk Venstreparti;31252;6109;13595;3999;9659;27840;12933;4667;13406;7005;57842;15464;4647;22669;8603;15079;9020;13364;14148
Arbeiderpartiet;139266;21064;53350;15889;44987;102794;39211;33192;42936;40843;139601;87886;18505;71434;37804;28384;26043;51550;66926
Senterpartiet;69633;14134;38725;13971;39467;50540;49475;34126;46197;35159;20578;36965;32104;46393;21379;32439;23716;18519;36158
Miljøpartiet De Grønne;26318;3556;9063;821;4415;18417;4311;1867;2536;3833;53949;11315;2582;13970;4693;3801;3928;6682;8534
Kristelig Folkeparti;10417;5744;4119;1041;1793;16275;10469;2178;3079;2247;6118;17350;3270;6326;6518;2914;16004;7064;5390
Venstre;25221;2370;5355;986;2897;11136;3489;2074;4710;3833;36708;9052;1721;7907;3259;2154;5819;4773;7411
Høyre;153522;21976;40579;5807;14903;120355;31409;9750;26450;16390;138489;94298;12222;45075;23856;20021;33318;47158;42446
Fremskrittspartiet;58119;9757;28838;5424;8969;44972;34694;6949;23914;13085;37820;66009;6541;20560;13427;15332;17750;21383;23806
Andre*;16448;4012;7003;4328;5381;22272;10469;4875;5797;3568;7786;24517;1377;11861;4693;1647;6401;10310;8758